Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Fati;A;6,67;1,44;5;33;5;Monaco;77,91;57,518;60,319;59,308;;3;;;;;7;17;5;12;;78,39;102;;3;52,63;1;;;2;2;0;;3;21;5;5;;;;;1;;1;1;251,93;-51,5;48,6;FALSE
Panichelli;A;5,43;1,43;5;86;5;Strasbourg;18,29;52,126;51,866;51,603;4;2;;;;1;18;18;11;11;1;74,7;215;3;2;36,25;9;;;5;6;0;10;5;62;5;11;9;;3;;7;4;4;15;163,19;-75,66;17,8;FALSE
Kebbal;MO;6,64;0,9;4;100;7;Paris FC;28,71;31,83;34,544;33,762;2;1;;;2;3;16;44;11;28;9;85,48;555;2;5;60,66;3;;;14;11;54,35;3;11;95;14;16;9;;;;-1;2;6;8;269,54;-93,34;5,03;FALSE
Lepaul;A;5,57;1,27;4;100;6;Rennes;57,29;46,206;47,639;46,507;1,5;;;;1;1;13;53;8;39;3;71,52;167;;;25;9;;;4;4;50;1;5;48;4;2;3;;1;;2;3;8;11;125,76;-37,11;16,2;FALSE
João Neves;MD;6,5;1,8;3;67;8,5;Paris;81,71;86,587;84,868;85,501;1;;;1;;;6;26;3;17;;92,77;209;1;;50;2;;;4;2;0;;3;14;1;4;;;3;;6;;2;4;238,83;-41,83;-2,43;FALSE
Del Castillo;A;6,17;1,69;3;100;6,5;Brest;60,63;46,703;47,511;48,014;1;2;;;2;3;10;22;8;17;5;71,82;333;6;11;45,33;11;;;10;17;58,14;1;8;102;13;16;8;;-1;;;;2;15;261,22;-100,17;12,33;FALSE
Pagis;A;5,88;1,75;3;50;6,5;Lorient;39,37;38,616;38,894;39,684;;;;1;;1;7;44;6;36;1;75,91;124;4;1;38,1;3;;;1;6;57,14;1;3;32;2;11;3;;;;3;1;3;4;160,82;-52,45;21,35;FALSE
Soumaré;A;5,86;1,65;3;100;6,5;Le Havre;21,4;33,361;32,121;31,78;1,5;1;;;1;5;16;51;11;33;6;74,6;298;3;4;46,85;13;;;6;15;58,33;7;8;80;9;11;11;;-2;;-2;3;7;22;232,51;-107,77;10,37;FALSE
Aubameyang;A;5,7;1,4;3;40;6;Marseille;78,6;66,907;65,096;64,196;0,5;;;;;2;6;6;5;5;2;80,06;95;1;;42,11;2;;;1;;54,55;2;3;22;2;3;2;;1;;3;2;2;7;135,76;-30,2;16,14;FALSE
Barcola;A;5,67;1,51;3;83;7,5;Paris;81,71;86,587;84,868;85,501;3;;;2;;1;16;71;10;46;4;87,63;237;3;1;36,96;4;;;2;6;50;;1;50;8;6;5;;5;;9;4;22;7;153,48;-55,98;11,2;FALSE
Ndiaye;MD;5,64;0,94;3;71;5,5;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;;8;18;5;10;4;88,58;202;2;3;48,57;4;;;7;9;52;3;7;26;1;13;1;;-2;;-2;1;1;6;151,57;-76,29;-4,14;FALSE
Diop;MO;5,43;1,27;3;57;7;Nice;36,79;44,669;46,073;47,603;3;1;;;;1;13;34;8;23;3;79,9;258;2;2;44;5;;;4;9;50;2;7;64;8;7;7;;-1;;-3;;3;8;138,81;-83,67;1,01;FALSE
Tosin;A;5,29;1,25;3;71;4,5;Lorient;39,37;38,616;38,894;39,684;2;;;;;;13;45;8;26;;78,88;139;1;3;45,95;4;;;3;3;50;;5;33;6;6;7;;-2;;-7;1;4;2;118,86;-55,27;13,29;FALSE
Magri;A;5;1,73;3;100;6;Toulouse;67,12;53,299;54,256;54,084;3;;;;;1;16;54;10;36;5;73,16;191;3;1;41,3;11;;;2;6;57,14;6;7;58;5;8;11;;;;-1;2;7;15;123,5;-79,49;11,14;FALSE
Godo;A;6,17;1,76;2;67;8;Strasbourg;18,29;52,126;51,866;51,603;2;;;;;;4;4;3;3;1;89,44;86;2;;42,86;1;;;2;3;60;2;;18;;3;5;;3;;7;;;5;205,43;-47,33;19,1;FALSE
Greenwood;A;6;1,15;2;86;7;Marseille;78,6;66,907;65,096;64,196;3;2;;;3;4;19;114;12;81;5;81,98;402;2;1;34,88;4;;;3;5;60;1;3;95;17;9;5;;3;;10;2;11;12;209,31;-92,56;4,49;FALSE
Tolisso;MD;6;0,91;2;100;6,5;Lyon;63,21;62,089;62,786;62,191;5;;;;;2;12;52;8;32;3;83,18;417;6;3;50,6;12;;;5;16;55,56;7;5;70;8;17;10;;3;;4;2;6;7;188,29;-81,87;-3,59;FALSE
Saïd;A;5,93;1,51;2;86;7;Lens;71,29;60,74;60,25;60,218;1,5;1;;;2;5;12;21;9;14;5;80,33;201;3;4;38,46;13;;;7;6;55,56;6;4;46;8;8;6;;2;;4;4;6;9;189,71;-66,93;6,23;FALSE
Emegha;A;5,88;0,85;2;50;6;Strasbourg;18,29;52,126;51,866;51,603;2;;;;2;2;10;54;8;37;1;64,29;45;;;46,67;6;;;;4;0;5;2;7;2;1;1;;2;;2;2;16;2;141;-29,15;15,02;TRUE
Thauvin;MO;5,86;1,11;2;86;7;Lens;71,29;60,74;60,25;60,218;1,5;1;;;;3;11;55;6;41;9;78,67;365;2;5;43,48;4;;;7;13;57,5;2;5;105;15;10;11;;2;;4;2;6;15;207,13;-105,19;-1,81;FALSE
